_id,Name,Price,NewPrice,OldPrice,Size,Time,LastBump,Link
66e22d5844669b487b52cbf2,Chrome Hearts x Matty Boy Vanity Fair L/S T-shirt,$550,,,L,,2 minutes ago,https://www.grailed.com/listings/67284492-chrome-hearts-x-matty-boy-chrome-hearts-x-matty-boy-vanity-fair-l-s-t-shirt?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf3,Chrome Hearts Y Not Cashmere Knit Jacket,$7220,,,M,(28 days),3 minutes ago(28 days),https://www.grailed.com/listings/65636335-chrome-hearts-chrome-hearts-y-not-cashmere-knit-jacket?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf4,Chrome Hearts Las Vegas Exclusive T-Shirt 'White',$499,,,XL,,8 minutes ago,https://www.grailed.com/listings/67282054-chrome-hearts-chrome-hearts-las-vegas-exclusive-t-shirt-white?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf5,Chrome Hearts x Rolex Oyster Perpetual Motif Chain Watch`,$39950,,,OS,(28 days),10 minutes ago(28 days),https://www.grailed.com/listings/65636191-chrome-hearts-x-rolex-chrome-hearts-x-rolex-oyster-perpetual-motif-chain-watch?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf6,🔥SICK🔥Rare OG Chrome Hearts Blue Metallic Thermal Lining,,$2835,$3500,S,(about 2 months),10 minutes ago(about 2 months),https://www.grailed.com/listings/64014521-chrome-hearts-sick-rare-og-chrome-hearts-blue-metallic-thermal-lining?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf7,Chrome hearts X gallery Jeans,,$3250,$4200,33,(about 9 hours),12 minutes ago(about 9 hours),https://www.grailed.com/listings/67249918-chrome-hearts-x-gallery-dept-chrome-hearts-x-gallery-jeans?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf8,Chrome Hearts Neck Logo Baseball Shirt Red/Black,$750,,,M,,15 minutes ago,https://www.grailed.com/listings/67286445-chrome-hearts-chrome-hearts-neck-logo-baseball-shirt-red-black?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbf9,Chrome Hearts Hoodie,$580,,,L,,15 minutes ago,https://www.grailed.com/listings/67286300-chrome-hearts-chrome-hearts-hoodie?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbfa,Chrome Hearts Las Vegas Exclusive Horseshoe Long Sleeve Tee,$799,,,L,,15 minutes ago,https://www.grailed.com/listings/67286188-chrome-hearts-chrome-hearts-las-vegas-exclusive-horseshoe-long-sleeve-tee?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbfb,CHROME HEARTS FOTI PEPE JAPAN EXCLUSIVE TEE MEDIUM,,$283,$350,M,(21 days),19 minutes ago(21 days),https://www.grailed.com/listings/66147502-chrome-hearts-chrome-hearts-foti-pepe-japan-exclusive-tee-medium?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbfc,Chrome Hearts Crop Top,$385,,,M,,20 minutes ago,https://www.grailed.com/listings/67285498-chrome-hearts-chrome-hearts-crop-top?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbfd,Chrome Hearts American Flag T-Shirt 'Black',$499,,,M,,22 minutes ago,https://www.grailed.com/listings/67285386-chrome-hearts-chrome-hearts-american-flag-t-shirt-black?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbfe,Chrome Hearts CH Baseball Hat,$800,,,OS,(26 days),29 minutes ago(26 days),https://www.grailed.com/listings/65687203-chrome-hearts-chrome-hearts-ch-baseball-hat?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cbff,Chrome Hearts Biker Shorts,$400,,,27,,32 minutes ago,https://www.grailed.com/listings/67283762-chrome-hearts-chrome-hearts-biker-shorts?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc00,Chrome Hearts Matty Boy Sex Records Hoodie,,$918,$1400,XXL,(2 months),33 minutes ago(2 months),https://www.grailed.com/listings/63686325-chrome-hearts-chrome-hearts-matty-boy-sex-records-hoodie?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc01,Chrome Hearts Black KZ Bracelet CH Cross Pendant Silver 925,$219,,,OS,,39 minutes ago,https://www.grailed.com/listings/67289003-chrome-hearts-chrome-hearts-black-kz-bracelet-ch-cross-pendant-silver-925?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc02,Rhinestone Tank Top RARE!!,$765,,,XL,(21 days),43 minutes ago(21 days),https://www.grailed.com/listings/66146250-chrome-hearts-x-vintage-rhinestone-tank-top-rare?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc03,CHROME HEARTS LEATHER MINI WALLET,$6500,,,OS,(28 days),44 minutes ago(28 days),https://www.grailed.com/listings/65635034-chrome-hearts-chrome-hearts-leather-mini-wallet?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc04,CHROME HEARTS MATTY BOY 1OF1 WALLET,$11500,,,OS,(28 days),44 minutes ago(28 days),https://www.grailed.com/listings/65635018-chrome-hearts-chrome-hearts-matty-boy-1of1-wallet?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc05,CHROME HEARTS DOUBLE FLORAL XL WALLET,$8500,,,OS,(28 days),44 minutes ago(28 days),https://www.grailed.com/listings/65635005-chrome-hearts-chrome-hearts-double-floral-xl-wallet?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc06,Chrome hearts red leather slip ons,,$886,$1750,8,(15 days),about 1 hour ago(15 days),https://www.grailed.com/listings/66487361-chrome-hearts-chrome-hearts-red-leather-slip-ons?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc07,Chrome hearts foti hat,,$299,$510,OS,(22 days),about 1 hour ago(22 days),https://www.grailed.com/listings/65936194-chrome-hearts-chrome-hearts-foti-hat?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc08,Chrome hearts blue patched jacket,,$7978,$12500,XL,(15 days),about 1 hour ago(15 days),https://www.grailed.com/listings/66487116-chrome-hearts-chrome-hearts-blue-patched-jacket?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc09,Chrom Hearts BONENNOISSEUR I,,$1539,$1900,OS,(7 days),about 1 hour ago(7 days),https://www.grailed.com/listings/66855204-chrome-hearts-chrom-hearts-bonennoisseur-i?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
66e22d5844669b487b52cc0a,Chrome Hearts Pen 15 Cross Glasses,$1800,,,OS,(28 days),about 1 hour ago(28 days),https://www.grailed.com/listings/65634772-chrome-hearts-chrome-hearts-pen-15-cross-glasses?g_aidx=Listing_production&g_aqid=2534f77d9fc9fa8dd4b44b7ebea3f0e3
